Patent_Number,Title,Date,CPC,Abstract
"7,317,836",Pose estimation based on critical point analysis,"January 8, 2008",G06K 9/00362 (20130101); G06T 7/75 (20170101); G06K 9/00375 (20130101); G06T 2207/30196 (20130101),"Methods and systems for estimating a pose of a subject. The subject can be a human, an animal, a robot, or the like. A camera receives depth information associated with a subject, a pose estimation module to determine a pose or action of the subject from images, and an interaction module to output a response to the perceived pose or action. The pose estimation module separates portions of the image containing the subject into classified and unclassified portions. The portions can be segmented using k-means clustering. The classified portions can be known objects, such as a head and a torso, that are tracked across the images. The unclassified portions are swept across an x and y axis to identify local minimums and local maximums. The critical points are derived from the local minimums and local maximums. Potential joint sections are identified by connecting various critical points, and the joint sections having sufficient probability of corresponding to an object on the subject are selected."
"6,952,700",Feature weighting in .kappa.-means clustering,"October 4, 2005",G06K 9/6223 (20130101); G06K 9/6228 (20130101); Y10S 707/99942 (20130101); Y10S 707/957 (20130101),"A method and system is provided for integrating multiple feature spaces in a k-means clustering algorithm when analyzing data records having multiple, heterogeneous feature spaces. The method assigns different relative weights to these various features spaces. Optimal feature weights are also determined that lead to a clustering that simultaneously minimizes the average intra-cluster dispersion and maximizes the average inter-cluster dispersion along all the feature spaces. Examples are provided that empirically demonstrate the effectiveness of feature weighting in clustering using two different feature domains."
"6,944,607",Aggregated clustering method and system,"September 13, 2005",G06K 9/6223 (20130101); Y10S 707/99932 (20130101); Y10S 707/99945 (20130101); Y10S 707/915 (20130101); Y10S 707/968 (20130101),"An aggregated data clustering method and system. First, the data points to be clustered and a size parameter are received. The size parameter specifies the number of data points to be moved at one time in the clustering algorithm. Next, the data points are clustered by using an aggregated clustering algorithm (e.g., aggregated local K-Means clustering algorithm) and the size parameter to generate clustered results. Then, a determination is made whether of not the clustered results are satisfactory. If the clustered results are satisfactory, the clustering is stopped. Otherwise, a modified or refined parameter size is received. Then, clustering is performed on the clustered results generated previously by using the aggregated clustering algorithm and the revised or refined parameter size. The steps of determining, modifying the parameter size, and aggregated clustering are repeated until satisfactory clustering results are achieved."
"6,801,917",Method and apparatus for partitioning a plurality of items into groups of similar items in a recommender of such items,"October 5, 2004",G06K 9/6218 (20130101); H04N 7/163 (20130101); H04N 21/252 (20130101); H04N 21/4532 (20130101); H04N 21/466 (20130101); H04N 21/4662 (20130101); H04N 21/4668 (20130101); H04N 21/454 (20130101); Y10S 707/99943 (20130101); Y10S 707/99931 (20130101),"A method and apparatus are disclosed for recommending items of interest to a user, such as television program recommendations, before a viewing history or purchase history of the user is available. A third party viewing or purchase history is processed to generate stereotype profiles that reflect the typical patterns of items selected by representative viewers. A user can select the most relevant stereotype(s) from the generated stereotype profiles and thereby initialize his or her profile with the items that are closest to his or her own interests. A clustering routine partitions the third party viewing or purchase history (the data set) into clusters using a k-means clustering algorithm, such that points (e.g., television programs) in one cluster are closer to the mean of that cluster than any other cluster. The value of k is incremented until (i) further incrementing of k does not yield any improvement in the classification accuracy, (ii) a predefined performance threshold is reached, or (iii) an empty cluster is detected."
"6,686,951",Crop row segmentation by K-means clustering for a vision guidance system,"February 3, 2004",A01B 69/008 (20130101); G05D 1/0246 (20130101); G06K 9/00664 (20130101); G06K 9/00697 (20130101); G06K 9/4609 (20130101); G06K 9/6223 (20130101); G06T 7/11 (20170101); G06T 7/143 (20170101); G05D 2201/0201 (20130101); G06T 2207/10016 (20130101); G06T 2207/10048 (20130101); G06T 2207/30252 (20130101),"An automatic vision guidance system for an agricultural vehicle is disclosed and described. The vision guidance system uses a K-means clustering algorithm in image processing to distinguish between crop and non-crop features. The vision guidance system utilizes moment algorithms to determine the location and orientation of crop rows, from which desired wheel angles are determined and steering is commanded. The vision guidance system may adjust the location and orientation of visually determined crop rows according to a predetermined distance between crop rows. Further, the vision guidance system may utilize a redundant number of regions of interest in determining crop row locations and orientations."
"6,587,585",Method of parameterizing a threshold curve for a binarization program and an apparatus therefor,"July 1, 2003",G06K 9/38 (20130101); G06T 7/11 (20170101); G06T 7/143 (20170101); G06T 7/194 (20170101); G06T 2207/10008 (20130101); G06T 2207/30176 (20130101),"A method of processing a document comprises the steps of (a) scanning a document to obtain gray scale image data associated with the document, (b) generating a two-dimensional histogram based upon the gray scale image data obtained in step (a), (c) applying a clustering algorithm to the two-dimensional histogram to determine a set of cluster center parameters associated with a first cluster of pixels and a set of cluster center parameters associated with a second cluster of pixels, (d) parameterizing a threshold curve associated with a binarization program based upon the set of cluster center parameters associated with the first cluster of pixels and the set of cluster center parameters associated with cluster of pixels, and (e) applying the binarization program to the gray scale image data associated with the document using the parameterized threshold curve obtained in step (d) to provide a binarized image data representative of a binary image of the document. Preferably, step (d) includes the steps of (d-1) calculating an average value associated with the first and second clusters of pixels, and (d-2) parameterizing at least a portion of the threshold curve based upon the average value calculated in step (d-1). The clustering algorithm includes a k-means clustering algorithm. The one cluster of pixels is representative of background of the document and the other cluster of pixels is representative of foreground of the document. One cluster of pixels is located above the other cluster of pixels. The above cluster of pixels is representative of background of the document and the other cluster of pixels is representative of foreground of the document."
"6,587,576",Method of quantifying the quality of a gray scale image of a document and an apparatus therefor,"July 1, 2003",G06K 9/036 (20130101); G06K 9/38 (20130101); G06T 7/11 (20170101); G06T 7/143 (20170101); G06T 7/194 (20170101); G06T 2207/10008 (20130101); G06T 2207/30176 (20130101),"A method of processing a document comprises the steps of (a) scanning a document to obtain gray scale image data associated with the document, (b) generating a two-dimensional histogram based upon the gray scale image data obtained in step (a), (c) applying a clustering algorithm to the two-dimensional histogram to determine a set of cluster center parameters associated with a first cluster of pixels and a set of cluster center parameters associated with a second cluster of pixels, (d) determining the standard Euclidean distance between the sets of cluster center parameters, and (e) normalizing the distance determined in step (d) to provide a value indicative of the quality of the document. The normalized result in step (e) may be a value between zero and one, and the algorithm includes a k-means clustering algorithm. The one cluster of pixels is representative of background of the document and the other cluster of pixels is representative of foreground of the document. One cluster of pixels is located above the other cluster of pixels. The above cluster of pixels is representative of background of the document and the other cluster of pixels is representative of foreground of the document."
"6,490,539",Region of interest selection for varying distances between crop rows for a vision guidance system ,"December 3, 2002",A01B 69/008 (20130101); G06K 9/00798 (20130101),"An automatic vision guidance system for an agricultural vehicle is disclosed and described. The vision guidance system uses a K-means clustering algorithm in image processing to distinguish between crop and non-crop features. The vision guidance system utilizes moment algorithms to determine the location and orientation of crop rows, from which desired wheel angles are determined and steering is commanded. The vision guidance system may adjust the location and orientation of visually determined crop rows according to a predetermined distance between crop rows. Further, the vision guidance system may utilize a redundant number of regions of interest in determining crop row locations and orientations."
"6,466,614",Method and apparatus for classifying a baseband signal,"October 15, 2002",H04B 3/46 (20130101); H04L 27/0012 (20130101); H04L 27/10 (20130101),"A processor (1104) receives a baseband signal including a plurality of symbols and determines (1002) a maximum modulation level and a minimum modulation level in the baseband signal through a modified self-organizing map clustering technique. The processor initializes (1008) a plurality of clusters (700, 800) corresponding to the plurality of modulation levels, based upon the maximum and minimum modulation levels; and processes (1010), through a modified adaptive k-means clustering technique, a symbol value corresponding to each of the plurality of symbols by updating (1012) parameters maintained for a cluster of the plurality of clusters, the cluster having a cluster mean value within a modulation-specified distance from the symbol value. The processor calculates (1014) a plurality of statistical values from the parameters maintained for the plurality of clusters, and classifies (1016, 1018, 1020) the baseband signal, based upon the plurality of statistical values and the parameters."
"6,385,515",Trajectory path planner for a vision guidance system,"May 7, 2002",A01B 69/001 (20130101); A01B 69/008 (20130101); G06K 9/00798 (20130101); G06K 9/3233 (20130101),"An automatic vision guidance system for an agricultural vehicle is disclosed and described. The vision guidance system uses a K-means clustering algorithm in image processing to distinguish between crop and non-crop features. The vision guidance system utilizes moment algorithms to determine the location and orientation of crop rows, from which desired wheel angles are determined and steering is commanded. The vision guidance system may adjust the location and orientation of visually determined crop rows according to a predetermined distance between crop rows. Further, the vision guidance system may utilize a redundant number of regions of interest in determining crop row locations and orientations."
"6,285,930",Tracking improvement for a vision guidance system,"September 4, 2001",G05D 1/0246 (20130101); G06K 9/00798 (20130101); G06T 7/70 (20170101); G06T 7/11 (20170101); G06T 7/66 (20170101); G05D 1/0278 (20130101); G05D 2201/0201 (20130101); G06T 2207/30172 (20130101); G06T 2207/30188 (20130101); G06T 2207/30252 (20130101),"An automatic vision guidance system for an agricultural vehicle is disclosed and described. The vision guidance system uses a K-means clustering algorithm in image processing to distinguish between crop and non-crop features. The vision guidance system utilizes moment algorithms to determine the location and orientation of crop rows, from which desired wheel angles are determined and steering is commanded. The vision guidance system may adjust the location and orientation of visually determined crop rows according to a predetermined distance between crop rows. Further, the vision guidance system may utilize a redundant number of regions of interest in determining crop row locations and orientations."
"6,278,918",Region of interest selection for a vision guidance system,"August 21, 2001",A01B 69/001 (20130101); A01B 69/008 (20130101); G06K 9/00798 (20130101); G06K 9/3233 (20130101),"An automatic vision guidance system for an agricultural vehicle is disclosed and described. The vision guidance system uses a K-means clustering algorithm in image processing to distinguish between crop and non-crop features. The vision guidance system utilizes moment algorithms to determine the location and orientation of crop rows, from which desired wheel angles are determined and steering is commanded. The vision guidance system may adjust the location and orientation of visually determined crop rows according to a predetermined distance between crop rows. Further, the vision guidance system may utilize a redundant number of regions of interest in determining crop row locations and orientations."
"6,253,175",Wavelet-based energy binning cepstal features for automatic speech recognition,"June 26, 2001",G10L 15/02 (20130101); G10L 25/27 (20130101); G10L 2015/0631 (20130101),"Systems and methods for processing acoustic speech signals which utilize the wavelet transform (and alternatively, the Fourier transform) as a fundamental tool. The method essentially involves ""synchrosqueezing"" spectral component data obtained by performing a wavelet transform (or Fourier transform) on digitized speech signals. In one aspect, spectral components of the synchrosqueezed plane are dynamically tracked via a K-means clustering algorithm. The amplitude, frequency and bandwidth of each of the components are, thus, extracted. The cepstrum generated from this information is referred to as ""K-mean Wastrum."" In another aspect, the result of the K-mean clustering process is further processed to limit the set of primary components to formants. The resulting features are referred to as ""formant-based wastrum."" Formants are interpolated in unvoiced regions and the contribution of unvoiced turbulent part of the spectrum are added. This method requires adequate formant tracking. The resulting robust formant extraction has a number of applications in speech processing and analysis including vocal tract normalization."
"6,115,708",Method for refining the initial conditions for clustering with applications to small and large database clustering,"September 5, 2000",G06F 16/35 (20190101); G06F 2216/03 (20130101); Y10S 707/99936 (20130101); Y10S 707/99933 (20130101); Y10S 707/99934 (20130101); Y10S 707/99935 (20130101),"As an optimization problem, clustering data (unsupervised learning) is known to be a difficult problem. Most practical approaches use a heuristic, typically gradient-descent, algorithm to search for a solution in the huge space of possible solutions. Such methods are by definition sensitive to starting points. It has been well-known that clustering algorithms are extremely sensitive to initial conditions. Most methods for guessing an initial solution simply make random guesses. In this paper we present a method that takes an initial condition and efficiently produces a refined starting condition. The method is applicable to a wide class of clustering algorithms for discrete and continuous data. In this paper we demonstrate how this method is applied to the popular K-means clustering algorithm and show that refined initial starting points indeed lead to improved solutions. The technique can be used as an initializer for other clustering solutions. The method is based on an efficient technique for estimating the modes of a distribution and runs in time guaranteed to be less than overall clustering time for large data sets. The method is also scalable and hence can be efficiently used on huge databases to refine starting points for scalable clustering algorithms in data mining applications."
"5,933,818",Autonomous knowledge discovery system and method,"August 3, 1999",G06K 9/622 (20130101); G06N 3/126 (20130101); Y10S 707/99948 (20130101); Y10S 707/99945 (20130101),"A knowlege discovery system (10) is provided for autonomously discovering knowlege from a database. The system includes a data reduction module (50) which reduces data into one or more clusters. This is accomplished by the use of one or more functions including a genetic clustering function, a hierarchical valley formation function, a symbolic exspansion reduction function, a fuzzy case clustering function, a relational clustering function, a K-means clustering function, a Kohonen neural network clustering function, and a minimum distance classifier clustering function. A data analysis modual (60) autonomously determines one or more correlations among the clusters. The corrolations represent knowlege."
